Name,Points,EWPSA 2024-01 Monthly 2-Gun,EWPSA 2024-02 Monthly 2-Gun,EWPSA 2024-04 Monthly 2-Gun,EWPSA 2024-05 Monthly 2-gun,EWPSA 2024-06 Monthly 2-Gun
Brian Humann,1248.2575,220.1059,255.4715,294.2481,203.4304,275.0016
Nicolas Espitia,941.3241,280.0042,N/A,224.0395,168.461,268.8194
Rob Lee,866.6807,256.7012,N/A,238.672,153.9917,217.3158
Kelly Hill,803.5482,N/A,203.0949,175.4895,165.6401,259.3237
Kevin Bensema,707.7493999999999,207.3777,141.5578,N/A,149.7191,209.0948
Rodrigo Silis,695.0422000000001,157.1216,N/A,186.6663,106.6226,244.6317
Kurt Bearchum,680.9601,225.7379,244.2041,N/A,211.0181,N/A
Matt Newburn,654.0023,171.9663,N/A,205.0794,276.9566,N/A
Alex Christensen,623.3253,235.5116,235.7192,152.0945,N/A,N/A
Rick Allen,620.7922000000001,172.866,142.1244,0.0,124.8391,180.9627
Christian Rhynalds,557.5592,170.553,133.5837,N/A,126.8525,126.57
Bart Andrist,524.6965,185.262,0.0,167.5006,171.9339,0.0
Seth Gardner,519.2090000000001,217.297,158.9515,142.9605,N/A,N/A
Gunghis Kahn,496.4048,N/A,256.4623,239.9425,N/A,N/A
Skeetz Guilbeau,454.9144,N/A,N/A,222.413,232.5014,N/A
Danny Fedoruk,452.51189999999997,145.4646,149.3164,N/A,N/A,157.7309
Alex Summa,422.5142,165.336,121.0969,136.0813,N/A,N/A
Jon Lee,410.2111,N/A,N/A,109.7589,113.194,187.2582
David Gossage,397.40109999999993,N/A,131.5419,131.4279,134.4313,N/A
Dallon Christensen,383.7858,N/A,213.1763,170.6095,N/A,N/A
Jacob Monson,364.01030000000003,N/A,174.4147,189.5956,N/A,N/A
Cayata Karyai,354.12469999999996,N/A,N/A,154.753,N/A,199.3717
Brandon Tinker,343.7341,179.5714,164.1627,N/A,N/A,N/A
Luke Ehlis,339.9498,176.7836,N/A,163.1662,N/A,N/A
Cory Allen,331.97220000000004,186.3049,145.6673,N/A,N/A,N/A
Noah perez,324.3682,173.1283,151.2399,N/A,N/A,N/A
Prosper Osagie-Amayo,318.30859999999996,N/A,N/A,164.1008,N/A,154.2078
Mark Madden,314.2142,N/A,N/A,152.1018,162.1124,N/A
Shaun Field,297.536,154.5272,N/A,143.0088,N/A,N/A
Kieron Crossley,297.0765,N/A,N/A,N/A,129.7442,167.3323
Genjuro Quale,266.6194,N/A,266.6194,N/A,N/A,N/A
Austin Smith,262.5283,N/A,N/A,140.1846,N/A,122.3437
Don Tripplet,262.4487,N/A,262.4487,N/A,N/A,N/A
Kody Robbins,261.6231,N/A,129.8787,131.7444,N/A,N/A
Derek Small,260.296,N/A,N/A,260.296,N/A,N/A
Jamie Bowkett,255.9966,N/A,N/A,130.7971,125.1995,N/A
Matthew Sauve,247.35739999999998,N/A,N/A,122.9791,124.3783,N/A
Robert Pofahl,244.1237,N/A,N/A,244.1237,N/A,N/A
David Pinnt,243.3273,243.3273,N/A,N/A,N/A,N/A
Ryan Moore,239.6862,N/A,N/A,239.6862,N/A,N/A
Erik Peterson,225.8446,N/A,225.8446,N/A,N/A,N/A
Tye Johnson,216.0764,216.0764,N/A,N/A,N/A,N/A
Ignacio Sanchez,213.3118,N/A,213.3118,N/A,N/A,N/A
Trevor VanArsdale,192.5493,N/A,N/A,192.5493,N/A,N/A
Matt Lefler,185.5454,N/A,185.5454,N/A,N/A,N/A
Tobias Niedziela,177.8556,N/A,N/A,177.8556,N/A,N/A
Auggie Mendoza,175.9953,175.9953,N/A,N/A,N/A,N/A
Ian Campbell,172.3454,172.3454,N/A,N/A,N/A,N/A
Chase Swaggart,168.4549,168.4549,N/A,N/A,N/A,N/A
Parker Rollison,165.1871,165.1871,N/A,N/A,N/A,N/A
Eric Damberg,158.8635,N/A,N/A,158.8635,N/A,N/A
Bradley Meharry,157.3635,157.3635,N/A,N/A,N/A,N/A
Scott Downing,155.8714,N/A,155.8714,N/A,N/A,N/A
Andrew Hall,143.189,143.189,N/A,N/A,N/A,N/A
Steven Wetzel,136.4315,136.4315,N/A,N/A,N/A,N/A
Koey Guilbeau,129.8725,N/A,N/A,N/A,129.8725,N/A
KYLE STEILING,128.6496,N/A,128.6496,N/A,N/A,N/A
Dale Lybbert,127.4091,N/A,N/A,N/A,N/A,127.4091
Rich Lee,126.8671,N/A,N/A,126.8671,N/A,N/A
Josh Mabe,119.0576,N/A,N/A,119.0576,N/A,N/A
Garth Madden,107.5705,N/A,N/A,107.5705,N/A,N/A
James Smith,107.4163,107.4163,N/A,N/A,N/A,N/A
Delson Christensen,93.1927,93.1927,N/A,N/A,N/A,N/A
Tyler Hendrix,85.081,N/A,N/A,N/A,N/A,85.081
Justin Bensema,80.5129,N/A,N/A,N/A,N/A,80.5129
Hayden Lindholm,80.2089,N/A,N/A,80.2089,N/A,N/A
